Stage Name,Full Name,Date of Birth,Group,Debut,Company,Country,Second Country,Birthplace,Other Group,Former Group
Aurora,Yang Lan,14/01/1997,NATURE,3/08/2018,n.CH,China,,,,
Ayamy,Suzuki Ayami,15/07/2000,Bling Bling,17/11/2020,Major9,Japan,,,,
Ayden,Kwon Yejun,24/01/2005,EPEX,8/06/2021,C9,South Korea,,,,
Ayeon,Son Minji,29/09/2002,Saturday,18/07/2018,SD,South Korea,,,,
Ayno,Noh Yoonho,1/05/1996,VAV,31/10/2015,A team,South Korea,,,,
B.I,Kim Hanbin,22/10/1996,,,,South Korea,,Goyang,,iKON
B.S,Lee Youngsoo,14/04/1995,14U,17/04/2017,BG,South Korea,,,,
Babysoul,Lee Soojung,6/07/1992,Lovelyz,17/11/2014,Woollim,South Korea,,Gwangju,,
Bada,Kim Bada,28/05/2002,Hinapia,3/11/2019,Alseulbit,South Korea,,,,
Bae,Bae Jinsol,28/12/2004,NMIXX,22/02/2022,JYP,South Korea,,,,
Baek Seung,Kim Hyunwoo,5/10/2004,EPEX,8/06/2021,C9,South Korea,,Seoul,,
Baekah,Kim Sua,24/10/1999,XUM,22/09/2020,A100,South Korea,,,,NeonPunch
Baekgyeul,Baek Sunwoo,1/12/1999,E'LAST,9/06/2020,E Entertainment,South Korea,,,,
Baekho,Kang Dongho,21/07/1995,NU'EST,15/03/2012,Pledis,South Korea,,Jeju,NU'EST W,
Baekhyun,Byun Baekhyun,6/05/1992,EXO,8/04/2012,SM,South Korea,,Wonmi,EXO-CBX| SuperM,
Bahiyyih,Huening Bahiyyih,27/07/2004,Kep1er,1/03/2022,WakeOne,USA,South Korea,,,
Bain,Song Byeonghee,4/05/2001,JUST B,30/06/2021,Bluedot,South Korea,,,,
BamBam,Kunpimook Bhuwakul,2/05/1997,GOT7,16/01/2014,JYP,Thailand,,Bangkok,,
Bang Chan,Bang Chan,3/10/1997,Stray Kids,25/03/2018,JYP,Australia,South Korea,Sydney,3RACHA,
Bao,Bae Sungyeob,12/05/1996,XEED,1/12/2022,Nature Space,South Korea,,,,LUCENTE
Baro,Cha Sunwoo,5/09/1992,,,,South Korea,,Gwangju,,B1A4
Baron,Choi Chunghyeop,19/04/1992,,,,South Korea,,,,VAV
B-Bomb,Lee Minhyuk,14/12/1990,Block B,15/04/2011,KQ,South Korea,,Seoul,Bastarz,
BC,Jin Sungho,18/07/1994,1TEAM,27/03/2019,LiveWorks,South Korea,,,,
Bekah,Rebecca Kim,11/08/1989,,,,South Korea,USA,Honolulu,,After School
BEL,Choi Sunghoon,21/05/2000,DUSTIN,6/01/2020,LPA,South Korea,,,,
Belle,Jin Hyeonjoo,3/11/2001,Cignature,4/02/2020,C9,South Korea,,Goyang,,Good Day
Benji,Baek Jaewook,3/05/1992,B.I.G,9/07/2014,GH,USA,South Korea,Indianapolis,,
Beomgyu,Choi Beomgyu,13/03/2001,TXT,4/03/2019,Big Hit,South Korea,,,,
Bessie,Kim Susanna,15/07/2004,Lapillus,22/06/2022,MLD,South Korea,,Changwon,,
Bian,Yu Jiwon,13/02/2001,MAJORS,9/03/2021,ANS,South Korea,,,,ANS
BIBI,Kim Hyungseo,27/09/1998,,,,South Korea,,,,
Bic,Nam Seungmin,25/04/2001,MCND,27/02/2020,TOP Media,South Korea,,,,
Bin,Kwon Soobin,28/10/1993,Hot Blood Youth,17/05/2017,FNC,South Korea,,,,
Bit,No Minjae,21/07/2004,BAE173,19/11/2020,PocketDol,South Korea,,,,
Bitsaeon,Kim Sangyeon,4/06/1995,MONT,14/05/2014,Starship,South Korea,,,,
Bitto,Lee Changhyun,24/08/1996,UP10TION,10/09/2015,TOP Media,South Korea,,Dongducheon,,
B-Joo,Kim Byungjoo,8/01/1994,Topp Dogg,1/04/2020,n.CH,South Korea,,Seoul,,
Blue,Jung Gahee,18/01/1994,Pungdeng-E,11/12/2013,DOMA,South Korea,,Gwangju,,
BM,Matthew Kim,20/10/1992,KARD,29/03/2007,DSP,South Korea,,,,
BoA,Kwon Boa,5/11/1986,,,,South Korea,,Guri,,
Boa,Kim Boah,14/01/1987,KEEMBO,10/04/2020,ARA-LINE,South Korea,,,,SPICA
Bobby,Kim Jiwon,21/12/1995,iKON,15/09/2015,YG,South Korea,USA,Seoul,,
Boeun,Park Boeun,11/02/2008,CLASS:y,5/05/2022,Universal,South Korea,,,,
Bohyung,Kim Bohyung,31/03/1991,KEEMBO,10/04/2020,ARA-LINE,South Korea,,,SPICA-S,SPICA
Bokeun,Kim Bokeun,12/10/1994,SIGNAL,28/08/2019,J-Star,South Korea,,,,
Bom,Park Bom,24/03/1984,2NE1,6/05/2009,YG,South Korea,,,,
Bomi,Yoon Bomi,13/08/1993,Apink,19/04/2011,Plan A,South Korea,,Suwon,Chobom,
Bomin,Choi Bomin,24/08/2000,Golden Child,28/08/2017,Woollim,South Korea,,,,
Bomin,Kim Bomin,24/09/2001,RedSquare,19/05/2020,About,South Korea,,Gwangju,,Good Day
Bona,Kim Jiyeon,19/08/1995,WJSN,25/02/2016,Starship,South Korea,,Daegu,WJSN The Black,
Boni,Choi Euijeong,30/10/1999,Dreamnote,7/11/2018,iME,South Korea,,,,
Bora,Kim Bora,3/03/1999,Cherry Bullet,21/01/2019,FNC,South Korea,,,,
Bora,Yoon Bora,30/12/1989,SISTAR,6/03/2010,Starship,South Korea,,,SISTAR19,
Boram,Jeon Boram,22/03/1986,,,,South Korea,,Seoul,,T-ara
Bullet,Jin Junwoo,2/12/1995,VARSITY,5/01/2017,GKC,South Korea,,Seoul,,
BX,Lee Byounggon,5/03/1998,CIX,23/07/2019,C9,South Korea,,Incheon,,
Byeongkwan,Kim Byeongkwan,13/08/1996,A.C.E,23/05/2017,Beat,South Korea,,Seoul,,
Byungchan,Choi Byungchan,12/11/1997,VICTON,9/11/2016,Plan A,South Korea,,,,
C.A.P,Bang Minsoo,4/11/1992,Teen Top,9/07/2010,TOP Media,South Korea,,Seongnam,,
Cao Lu,Cao Lu,30/08/1987,Fiestar,31/08/2012,LOEN,China,,Zhangjiajie,,
Casper,Chu Xiaoxiang,20/03/1991,CROSS GENE,8/07/2012,Amuse,China,,Shanghai,,
Castle J,Son Sangjoon,31/05/1999,MCND,27/02/2020,TOP Media,South Korea,,,,
Cha Hoon,Cha Hoon,12/07/1994,N.Flying,20/05/2015,FNC,South Korea,,Seoul,,
Chaebin,Choi Yoobin,28/07/1999,NATURE,3/08/2018,n.CH,South Korea,,,,
Chaehyun,Kim Chaehyun,29/11/1999,Bonus Baby,1/01/2017,Maroo,South Korea,,,,
Chaehyun,Kim Chaehyun,26/04/2002,Kep1er,1/03/2022,WakeOne,South Korea,,,,
Chaein,Lee Chaeyoung,5/12/2002,Purple Kiss,15/03/2021,RBW,South Korea,,,,
Chaejeong,Lee Chaejeong,26/08/1999,ALICE,1/07/2017,IOK Company,South Korea,,,,
Chaejin,Chae Jinseok,26/12/1995,MYNAME,27/10/2011,H2,South Korea,,Seoul,,
Chaekyung,Yoon Chaekyung,7/07/1996,APRIL,24/08/2015,DSP,South Korea,,Incheon,C.I.V.A| I.B.I,Puretty
Chaelin,Lee Chaelin,20/10/1999,FANATICS,6/08/2019,FENT,South Korea,,,,
Chaerin,Park Chaerin,13/03/2002,Cherry Bullet,21/01/2019,FNC,South Korea,,,,
Chaerin,Park Chaerin,31/03/2003,ICHILLIN',8/09/2021,KM,South Korea,,,,
Chaeryeong,Lee Chaeryeong,5/06/2001,ITZY,12/02/2019,JYP,South Korea,,Yongin,,
Chaesol,Maeng Chaesol,14/07/1998,Cignature,4/02/2020,C9,South Korea,,Yeosu,,Good Day
Chaewon,Kim Chaewon,8/11/1997,APRIL,24/08/2015,DSP,South Korea,,Gongju,,
Chaewon,Yoon Chaewon,4/06/2003,CLASS:y,5/05/2022,Universal,South Korea,,,,
Chaewon,Kim Chaewon,1/08/2000,LE SSERAFIM,2/05/2022,Source,South Korea,,Seoul,,IZ*ONE
Chaewon,Lee Chaewon,18/03/2000,Maka Maka,4/08/2020,Dreamus,South Korea,,,,
ChaeY,Song Chaeyeon,6/01/2003,CRAXY,3/03/2020,SAITEINMENT,South Korea,,,,
Chaeyeon,Jung Chaeyeon,1/12/1997,DIA,14/07/2015,MBK,South Korea,,Suncheon,,I.O.I
Chaeyeon,Lee Chaeyeon,11/01/2000,IZ*ONE,29/10/2018,Off The Record,South Korea,,Yongin,,
Chaeyeon,Kim Chaeyeon,4/12/2004,tripleS,13/02/2023,MODHAUS,South Korea,,,,Busters
Chaeyoung,Lee Chaeyoung,14/05/2000,fromis_9,24/01/2018,Off The Record,South Korea,,Pohang,,
Chaeyoung,Son Chaeyoung,23/04/1999,Twice,20/10/2015,JYP,South Korea,,Seoul,,
Chahee,Park Sooyoung,24/03/1996,MELODYDAY,25/09/2019,KD,South Korea,,,,
Chan,Kang Yoochan,31/12/1997,A.C.E,23/05/2017,Beat,South Korea,,Jeju,UNB,
Chan,Jung Chanwoo,26/01/1998,iKON,15/09/2015,YG,South Korea,,Yongin,,
Chan,Jo Chanhyuk,8/12/1999,TOO,1/04/2020,n.CH,South Korea,,,,
Changbin,Seo Changbin,11/08/1999,Stray Kids,25/03/2018,JYP,South Korea,,Yongin,3RACHA,
Changbum,Woo Changbum,7/10/1993,,,,South Korea,,Sokcho,,100%
Changgyu,Song Changgyu,6/07/1993,UNVS,23/02/2020,CHITWN,South Korea,,,,
Changjo,Choi Jonghyun,16/11/1995,Teen Top,9/07/2010,TOP Media,South Korea,,Chuncheon,,
Changsub,Lee Changsub,26/02/1991,BtoB,21/03/2012,Cube,South Korea,,Suwon,,
Changsun,Lee Changsun,17/03/1996,24K,6/09/2012,Choeun,South Korea,,,,
Changuk,Joo Changuk,25/07/2001,DRIPPIN,26/10/2020,Woollim,South Korea,,,,
Chani,Kang Chanhee,17/01/2000,SF9,5/10/2016,FNC,South Korea,,,,
Chanmi,Kim Chanmi,19/06/1996,AoA,30/07/2012,FNC,South Korea,,Gumi,,
Chansung,Hwang Chansung,11/02/1990,2PM,4/07/2008,JYP,South Korea,,Seoul,,
Chanty,Maria Chantal Videla,15/12/2002,Lapillus,22/06/2022,MLD,Philippines,Argentina,Manila,,
Chanyeol,Park Chanyeol,27/11/1992,EXO,8/04/2012,SM,South Korea,,Seoul,,
Chanyong,Kim Chanyong,29/04/1993,100%,18/09/2012,TOP Media,South Korea,,Suwon,,
Chanyoung,Kim Chanyoung,20/11/2000,D-CRUNCH,6/08/2018,All-S,South Korea,,,,
Chen,Kim Jongdae,21/09/1992,EXO,8/04/2012,SM,South Korea,,Silheung,EXO-CBX,
Cheng Xiao,Cheng Xiao,15/07/1998,,,,China,,Shenzhen,,WJSN
Chenle,Zhong Chenle,22/11/2001,NCT,9/04/2016,SM,China,,Shanghai,NCT Dream,
Cheongeum,Jang Cheongeum,19/06/1996,Ho1iday,26/04/2013,LOEN,South Korea,,,,
Chi.u,Lee Jaeyi,16/08/1998,X:IN,11/04/2023,Escrow,South Korea,,,,
Chiayi,Li Chiayi,22/01/2000,FANATICS,6/08/2019,FENT,Taiwan,,,FANATICS FLAVOR,
Chihoon,Choi Chihoon,27/04/1999,TOO,1/04/2020,n.CH,South Korea,,,,
Chiquita,Riracha Phondechaphiphat,17/02/2009,BABYMONSTER,0/01/1900,YG,Thailand,,,,
Chiwoo,Guk Seungjun,2/09/2002,Kingdom,18/02/2021,GF,South Korea,,,,
Chloe,Yun Jiwon,6/01/2001,Cignature,4/02/2020,C9,South Korea,,Seoul,,
Choa,Park Choa,6/03/1990,,,,South Korea,,Incheon,,AoA| AOA BLACK
Choa,Heo Minjin,12/07/1990,Crayon Pop,18/07/2012,Chrome,South Korea,,Seoul,,
Choerry,Choi Yerim,4/06/2001,LOONA,20/08/2018,Blockberry,South Korea,,,Loona Odd Eye Circle| ARTMS,
Choi In,Choi In,11/02/1996,E'LAST,9/06/2020,E Entertainment,South Korea,,,,
Choi Jiann,Choi Jaewoo,30/09/1997,Newkidd,25/04/2019,J-FLO,South Korea,,,,
Chorong,Park Chorong,3/03/1991,Apink,19/04/2011,Plan A,South Korea,,Chungwongoon,Chobom,
Chowon,Kim Chowon,18/08/2005,ICHILLIN',8/09/2021,KM,South Korea,,,,
Chowon,Han Chowon,16/09/2002,LIGHTSUM,10/06/2021,Cube,South Korea,,Seoul,,
Choyeon,Kim Choyeon,1/08/2001,bugAboo,25/10/2021,A team,South Korea,,,,
Chris,Han Chris,19/11/2002,BLITZERS,12/05/2021,Wuzo,South Korea,,,,
Chungha,Kim Chungha,9/02/1996,,,,South Korea,,Dallas,,I.O.I
Chunji,Lee Chanhee,5/10/1993,Teen Top,9/07/2010,TOP Media,South Korea,,Seongnam,,
Chuu,Kim Jiwoo,20/10/1999,LOONA,20/08/2018,Blockberry,South Korea,,Cheongju,Loona yyxy,
CL,Lee Chaerin,26/02/1991,2NE1,6/05/2009,YG,South Korea,,,,
CNU,Shin Dongwoo,16/06/1991,B1A4,19/04/2010,WM,South Korea,,Seoul,,
Cory,Hong Joohyung,25/11/1990,24K,6/09/2012,Choeun,South Korea,USA,Daegu,,
Cui Xiang,Cui Xiang,26/01/1995,BOTOPASS,26/08/2020,WKS ENE,China,,,,ILUV
Cya,Lee Giwook,24/01/2000,Onewe,9/01/2019,RBW,South Korea,,,,MAS
Cyan,Lee Chaeeun,4/04/2001,bugAboo,25/10/2021,A team,South Korea,,Sanbon,,
D.ana,Cho Eunae,10/09/1995,Sonamoo,29/12/2014,TS,South Korea,,Seoul,,
D.O.,Do Kyungsoo,12/01/1993,EXO,8/04/2012,SM,South Korea,,Gyeonggi,,
D1,Jang Dongil,15/02/1998,DKB,3/02/2020,Brave,South Korea,,,,
Dabi,Park Jiwon,19/01/2000,AREAL,21/08/2020,JZ Factory,South Korea,,,,MIDNIGHT
Daehwi,Lee Daehwi,29/01/2001,AB6IX,22/05/2019,Brand New,South Korea,,Seoul,,Wanna One
Daehyeon,Jang Daehyeon,11/02/1997,WEi,5/10/2020,OUI,South Korea,,,,RAINZ
Daehyun,Jung Daehyun,28/06/1993,B.A.P,27/01/2012,TS,South Korea,,Busan,,
Daeil,Kim Daeil,10/05/1992,,,,South Korea,,Busan,,24K
Daesung,Daesung,26/04/1989,BIGBANG,19/08/2006,YG,South Korea,,Incheon,,
Daeun,Jung Daeun,3/06/1994,2EYES,20/07/2013,SidusHQ,South Korea,,Bucheon,,
Daewang Nim,Daewang Nim,8/04/1996,Pink Fantasy,28/10/2018,My Doll,South Korea,,,,
Daeyeol,Lee Daeyeol,11/02/1993,Golden Child,28/08/2017,Woollim,South Korea,,Yongin,,
Dahye,Song Dahye,12/06/1993,,,,South Korea,,,,EXID| BESTie
Dahyun,Jeong Dahyun,29/04/2005,Rocket Punch,7/08/2019,Woollim,South Korea,,,,
Dahyun,Seo Dahyun,8/01/2003,tripleS,13/02/2023,MODHAUS,South Korea,,Busan,,
Dahyun,Kim Dahyun,28/05/1998,Twice,20/10/2015,JYP,South Korea,,Seongnam,,
Dain,Song Jieun,25/06/1990,,,,South Korea,,,,Wassup
Dain,Jung Dain,15/12/2004,HOT ISSUE,17/05/2017,FNC,South Korea,,,,
Daisy,Yoo Jeongahn,22/01/1999,,,,South Korea,,Seoul,,MOMOLAND
Dajeong,Kim Dajeong,8/08/1995,Hash Tag,11/10/2017,LUK,South Korea,,Gwangju,,
Dajeong,Jung Dajeong,31/07/2003,Pixy,24/02/2021,ALLART,South Korea,,,,
Dakyung,Jung Dakyung,23/07/2001,Hi-L,11/08/2021,Kpop Live,South Korea,,,,
Dalyn,Lee Sohyun,27/08/1999,ANS,16/09/2019,ANS,South Korea,,,,
Damhee,Park Damhee,21/06/2000,ARTBEAT,16/11/2022,AB Creative,South Korea,,,,
Dami,Hong Dayoung,7/06/2001,ANS,16/09/2019,ANS,South Korea,,,,
Dami,Lee Yoobin,7/03/1997,Dreamcatcher,13/01/2017,Happy Face,South Korea,,Seoul,,Minx
Damin,Kang Damin,24/03/2004,Queenz Eye,24/10/2022,Big Mountain,South Korea,,Seoul,,
Damon,Hu Boohan,2/07/1996,VARSITY,5/01/2017,GKC,China,,,,
Dana,Jang Dana,25/12/2003,HOT ISSUE,17/05/2017,FNC,South Korea,,,,
Dan-a,Park Seungyeon,26/06/1993,Matilda,18/03/2016,Box,South Korea,,,,
Daniel,Kang Daniel,10/12/1996,Wanna One,7/08/2017,YMC,South Korea,,Busan,,
Danielle,Mo Jihye,11/04/2005,NewJeans,22/07/2022,ADOR,South Korea,Australia,Munsan,,
Dann,Jung Seungbo,1/11/1997,Kingdom,18/02/2021,GF,South Korea,,Ilsan,,VARSITY
Dany,Jeon Eunji,20/01/1998,Ho1iday,26/04/2013,LOEN,South Korea,,,,
Daon,Ahn Seonil,10/12/2000,DUSTIN,6/01/2020,LPA,South Korea,,,,
Dara,Park Sandara,12/11/1984,2NE1,6/05/2009,YG,South Korea,,,,
Daseul,Yang Daseul,14/09/2000,Maka Maka,4/08/2020,Dreamus,South Korea,,,,
Dasom,Lee Dasom,13/11/1993,2EYES,20/07/2013,SidusHQ,South Korea,,Cheongju,,
Dasom,Kim Dasom,6/05/1993,SISTAR,6/03/2010,Starship,South Korea,,,,
Dawon,Lee Dawon,2/12/1996,ARIAZ,23/10/2019,Rising Star,South Korea,,,,
Dawon,Lee Sanghyuk,24/07/1995,SF9,5/10/2016,FNC,South Korea,,,,
Dawon,Cho Dawon,12/05/2000,VARSITY,5/01/2017,GKC,South Korea,,,,
Dawon,Nam Dawon,16/03/1997,WJSN,25/02/2016,Starship,South Korea,,Seoul,,
Daye,Kim Hyunjung,25/02/1998,Berry Good,21/05/2014,Asia Bridge,South Korea,,,,
Dayeon,Kim Dayeon,2/03/2003,Kep1er,1/03/2022,WakeOne,South Korea,,,,
Dayeon,Hwang Da Kyeon,17/11/1995,XUM,22/09/2020,A100,South Korea,,,,NeonPunch
Dayoung,Kim Dayoung,2/02/1991,Blady,16/05/2011,Star Planet,South Korea,,Jeonju,,
Dayoung,Im Dayoung,14/05/1999,WJSN,25/02/2016,Starship,South Korea,,Jeju,WJSN Chocome,
Dayun,Kim Dayun,20/11/2000,Bonus Baby,1/01/2017,Maroo,South Korea,,,,
Della,Park Sehyun,3/09/1995,Rockit Girl,30/05/2019,Rolling,South Korea,,,,
Denise,Kim Denise,11/01/2001,SECRET NUMBER,19/05/2020,Vine,South Korea,USA,,,
Dey,Kim Sehyun,11/06/2003,YOUNITE,20/04/2022,Brand New,South Korea,,,,
Dia,Kwak Minnyeong,3/09/1999,Maka Maka,4/08/2020,Dreamus,South Korea,,,,
Dia,Choi Eunji,16/07/2001,Pixy,24/02/2021,ALLART,South Korea,,,,
Dino,Lee Chan,11/02/1999,Seventeen,26/05/2015,Pledis,South Korea,,Iksan,,
Dita,Dita Karang,25/12/1996,SECRET NUMBER,19/05/2020,Vine,Indonesia,,Yogyakarta,,
DK,Kim Dokyun,16/02/1998,BLANK2Y,24/05/2022,Keystone,South Korea,,,,
DK,Kim Donghyuk,3/01/1997,iKON,15/09/2015,YG,South Korea,,,,
DK,Lee Seongmin,18/02/1997,Seventeen,26/05/2015,Pledis,South Korea,,Yongin,,
Doa,Im Youngseo,29/10/2001,We;Na,5/09/2022,Shine E&M,South Korea,,,,
Do-A,Choi Yuna,2/02/1999,ALICE,1/07/2017,IOK Company,South Korea,,,,
Doah,Kim Doah,4/12/2003,FANATICS,6/08/2019,FENT,South Korea,,,FANATICS FLAVOR,
Doha,Na Gyumin,7/03/2004,BAE173,19/11/2020,PocketDol,South Korea,,,,
Doha,Park Doha,27/03/1992,XEED,1/12/2022,Nature Space,South Korea,,Seoul,,
Dohee,Yoon Dohee,24/09/1999,,,,South Korea,,,,NeonPunch
Dohee,Kwon Dohee,1/08/2002,Cignature,4/02/2020,C9,South Korea,,Seoul,,
Dohee,Min Dohee,25/09/1994,Tiny-G,23/08/2012,GNG,South Korea,,,,
Dohwan,Gil Dohwan,26/08/2003,Ciipher,15/03/2021,Rain,South Korea,,,,
Dohyon,Nam Dohyon,10/11/2004,BAE173,19/11/2020,PocketDol,South Korea,,,,X1
Dohyuk,Kim Dohyuk,16/01/1998,14U,17/04/2017,BG,South Korea,,,,
Doi,Kim Doi,12/04/1994,FANATICS,6/08/2019,FENT,South Korea,,,,
Dojin,Jeon Yongtae,7/03/1997,ENOi,19/04/2019,KITHEWHALE,South Korea,,,,
Dokyun,Na Dokyun,11/02/1991,HISTORY,26/04/2013,LOEN,South Korea,,Daejeon,,
Donggeon,Song Donggeon,15/07/1999,TOO,1/04/2020,n.CH,South Korea,,,,
Donghae,Lee Donghae,15/10/1986,Super Junior,6/11/2005,SM,South Korea,,Mokpo,Super Junior-M,
Donghan,Kim Donghan,3/07/1998,WEi,5/10/2020,OUI,South Korea,,Daegu,,JBJ
Dongheon,Lee Dongheon,4/08/1995,Verivery,1/09/2019,Jellyfish,South Korea,,,,
Donghun,Lee Donghun,15/05/1993,A.C.E,23/05/2017,Beat,South Korea,,Suncheon,,
Donghyuk,Park Donghyuk,18/12/1999,BLANK2Y,24/05/2022,Keystone,South Korea,,,,ENOi
Donghyun,Kim Donghyun,17/09/1998,AB6IX,22/05/2019,Brand New,South Korea,,Daejeon,MXM,
Donghyun,Kim Donghyun,12/02/1989,Boyfriend,26/05/2011,Starship,South Korea,,Seoul,,
Donghyun,Kim Donghyun,23/02/1999,Golden Child,28/08/2017,Woollim,South Korea,,,,
Dongjun,Hwang Dongjun,7/09/1999,,,,South Korea,,,,Ghost9
Dongjun,Kim Dongjun,11/02/1992,ZE:A,7/01/2010,Star Empire,South Korea,,Busan,,
Dongkyu,Moon Dongkyu,16/11/1992,Spectrum,9/05/2018,WYNN,South Korea,,,,
Dongmyeong,Son Dongmyeong,20/01/2000,Onewe,9/01/2019,RBW,South Korea,,,,MAS
Dongpyo,Son Dongpyo,9/09/2002,Mirae,17/03/2021,DSP,South Korea,,,,X1
Dongwan,Kim Dongwan,21/11/1979,Shinhwa,24/03/1998,SM| Good| Shinhwa,South Korea,,Pohang,,
Dongwon,Lee Dongwon,1/01/1994,KNK,3/03/2016,YNB,South Korea,,,,
Dongwoo,Jang Dongwoo,22/11/1990,Infinite,9/06/2010,Woollim,South Korea,,Guri,Infinite H,
Dongwoon,Son Dongwoon,6/06/1991,Highlight,14/10/2009,Around Us,South Korea,,Busan,,Beast
Dongyun,Kim Dongyun,18/02/2002,DRIPPIN,26/10/2020,Woollim,South Korea,,,,
Doojoon,Yoon Doojoon,4/07/1989,Highlight,14/10/2009,Around Us,South Korea,,Goyang,,Beast
Doryun,Kim Doryun,1/05/2000,AIMERS,17/11/2022,Hyper Rhythm,South Korea,,,,
Dosie,Jang Eunseung,11/02/2000,Purple Kiss,15/03/2021,RBW,South Korea,,,,
Douhyun,Yoo Douhyun,25/12/2000,Mirae,17/03/2021,DSP,South Korea,,,,
Dowoon,Yoon Dowoon,25/08/1995,DAY6,7/09/2015,JYP,South Korea,,,,
Doyeon,Kim Doyeon,4/12/1999,Weki Meki,8/08/2017,Fantagio,South Korea,,Incheon,I.O.I| WJMK,
Doyoung,Kim Dongyoung,1/02/1996,NCT,9/04/2016,SM,South Korea,,Guri,NCT U| NCT 127,
Doyoung,Kim Doyoung,4/12/2003,Treasure,7/08/2020,YG,South Korea,,,,
Duna,Kang Duna,28/04/2005,CSR,27/07/2022,A2Z,South Korea,,Gangwon,,
DY,Jeon Doyum,21/02/2002,JUST B,30/06/2021,Bluedot,South Korea,,Daejeon,,1the9
Dylan,Park Yeonjae,26/07/2002,D-CRUNCH,6/08/2018,All-S,South Korea,,,,
E.Ji,Choi Jiwon,8/11/2000,ICHILLIN',8/09/2021,KM,South Korea,,,,
